#
# mortgage flow computed by MYRAR
#
#Mes 	 Fecha 	 Cuota 	 Interes 	 Amortizado 	 Comisiones 	 Pendiente 	 Tipo
#------------------------------------------------------------------------------------------------------------------
0	20/04/2005	-250000.00	0.00	0.00	3750.00	250000.00	4.500%
4	20/08/2005	18736.09	3750.00	14986.09	0.00	235013.91	4.500%
8	20/12/2005	18736.09	3525.21	15210.88	0.00	219803.03	4.500%
12	20/04/2006	18736.09	3297.05	15439.04	0.00	204363.99	4.500%
16	20/08/2006	18736.09	3065.46	15670.63	0.00	188693.36	4.500%
20	20/12/2006	18736.09	2830.40	15905.69	0.00	172787.67	4.500%
24	20/04/2007	18736.09	2591.82	16144.27	0.00	156643.40	4.500%
28	20/08/2007	18736.09	2349.65	16386.44	0.00	140256.96	4.500%
32	20/12/2007	18736.09	2103.85	16632.23	0.00	123624.72	4.500%
36	20/04/2008	18736.09	1854.37	16881.72	0.00	106743.01	4.500%
40	20/08/2008	18736.09	1601.15	17134.94	0.00	89608.06	4.500%
44	20/12/2008	18736.09	1344.12	17391.97	0.00	72216.09	4.500%
48	20/04/2009	18736.09	1083.24	17652.85	0.00	54563.25	4.500%
52	20/08/2009	18736.09	818.45	17917.64	0.00	36645.61	4.500%
56	20/12/2009	18736.09	549.68	18186.40	0.00	18459.20	4.500%
60	20/04/2010	18736.09	276.89	18459.20	0.00	-0.00	4.500%
