#
# endorsement flow computed by MYRAR
#
#Mes 	Fecha 	Cuota 	Interes 	Amortizado 	Comisiones 	Pendiente 	Tipo
0	21/04/2005	0.00	0.00	0.00	3750.00	0.00	12.000%
4	21/08/2005	10000.00	10000.00	0.00	0.00	0.00	12.000%
8	21/12/2005	10000.00	10000.00	0.00	0.00	0.00	12.000%
12	21/04/2006	10000.00	10000.00	0.00	0.00	0.00	12.000%
16	21/08/2006	10000.00	10000.00	0.00	0.00	0.00	12.000%
20	21/12/2006	10000.00	10000.00	0.00	0.00	0.00	12.000%
24	21/04/2007	10000.00	10000.00	0.00	0.00	0.00	12.000%
28	21/08/2007	10000.00	10000.00	0.00	0.00	0.00	12.000%
32	21/12/2007	10000.00	10000.00	0.00	0.00	0.00	12.000%
36	21/04/2008	10000.00	10000.00	0.00	0.00	0.00	12.000%
40	21/08/2008	10000.00	10000.00	0.00	0.00	0.00	12.000%
44	21/12/2008	10000.00	10000.00	0.00	0.00	0.00	12.000%
48	21/04/2009	10000.00	10000.00	0.00	0.00	0.00	12.000%
52	21/08/2009	10000.00	10000.00	0.00	0.00	0.00	12.000%
56	21/12/2009	10000.00	10000.00	0.00	0.00	0.00	12.000%
60	21/04/2010	10000.00	10000.00	0.00	0.00	0.00	12.000%
